desig7,nm,Tipo,micro,bairro,d1,cf,le,lat,lon
0007019,CP JARDIM ESCOLA TURMINHA DA ARCA - JETA,Creche Parceira,7.17,Jacarepaguá,174,177,0,-22.96342,-43.34745
0007020,CP JARDIM ESCOLA CRESCENDO E APRENDENDO,Creche Parceira,7.17,Jacarepaguá,90,19,33,-22.95829,-43.35315
0007025,CP INSTITUTO CONSUELO PINHEIRO,Creche Parceira,7.14,Cidade de Deus / Jacarepaguá,58,99,2,-22.94804,-43.35885
0007027,CP CRECHE MUNDO MÁGICO I,Creche Parceira,7.13,Itanhangá,67,53,1,-22.93257,-43.37475
0007034,CP INSTITUTO EDUCACIONAL DIVA ALVES,Creche Parceira,7.8,Jacarepaguá,93,41,125,-22.93863,-43.39598
0007035,CP AEMMAC - ANIL,Creche Parceira,7.18,Jacarepaguá,156,166,0,-22.95058,-43.34142
0007036,CP CAAD UNIVERSO ENCANTADO,Creche Parceira,7.7,Freguesia / Jacarepaguá,168,116,95,-22.93773,-43.342
0007037,CP CAAD UNIVERSO DA CRIANÇA,Creche Parceira,7.6,Freguesia / Jacarepaguá,290,180,15,-22.92011,-43.36048
0007038,CP CAAD UNIVERSO DAS FLORES,Creche Parceira,7.1,Vila Valqueire,322,105,136,-22.88771,-43.36412
0007039,CP CRECHE JARDIM CLARICE,Creche Parceira,7.18,Anil,67,76,23,-22.96408,-43.33653
0007040,CP CRECHE VALE DO SOL PRAÇA SECA,Creche Parceira,7.3,Jacarepaguá,580,190,233,-22.89823,-43.35344
0007041,CP CRECHE VALE DO SOL TAQUARA,Creche Parceira,7.5,Taquara / Jacarepaguá,238,56,173,-22.91733,-43.37196
0007042,CP INSTITUTO EDUCACIONAL DIVA ALVES II,Creche Parceira,7.11,Jacarepaguá,241,71,227,-22.95334,-43.37915
0007043,CP ESPAÇO DE EDUCAÇÃO INFANTIL PEQUENO APRENDIZ,Creche Parceira,7.26,Vargem Pequena,60,29,27,-22.98893,-43.44052
0007044,CP CRECHE AMOR DE MÃE,Creche Parceira,7.28,Recreio dos Bandeirantes,237,82,17,-23.02235,-43.48079
0007045,CP JARDIM ESCOLA TURMINHA DA ARCA - JETA II,Creche Parceira,7.17,Gardênia Azul,48,66,0,-22.96375,-43.34749
0008002,CP CRECHE ESPÍRITA FRANCISCO DE ASSIS,Creche Parceira,8.24,Realengo,29,28,0,-22.86123,-43.4272
0008003,CP CRECHE CRIANÇA JABOUR,Creche Parceira,8.12,Jabour,41,44,15,-22.87855,-43.49396
